,admin1Pcod_1,admin1Name_1,admin2Pcod_1,admin2Name_1,local_date_1,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,minutes/trip,trip_miles/person,miles/person,minutes/person,trips/person,date_1,0_14_pct,15_64_pct,65p_pct,M_pct,Population,rwi,rwi_pctl,first_case,ban_travel,lockdown,lockdown_0,lockdown_1,lockdown_2,lockdown_3,lockdown_4,lockdown_5
15450,ZA9,Limpopo,ZA936,Waterberg,2020-10-18,2651,1635,1335,369167639.9520529,118176824.11035596,33411017,210.05291713818684,55.00499932005513,171.82781765726588,417.1163171036205,1.985767790262172,20201018,0.2870915348782833,0.6477210572390478,0.06518740788266879,0.5138960603357211,718513.0,0.00236898395721925,0.5576923076923077,1,1,1,0,1,0,0,0,0
15451,ZA6,North West,ZA637,Bojanala,2020-10-18,5230,3140,2500,448426015.9401137,140243923.792882,61500798,195.9872466539197,34.85741365248996,111.45560326197848,410.00532,2.092,20201018,0.25082919250139085,0.6903465537718604,0.05882425372674875,0.5380589003726469,1786678.0,0.07430676328502415,0.6538461538461539,1,1,1,0,1,0,0,0,0
15452,ZA9,Limpopo,ZA933,Mopani,2020-10-18,1826,1045,768,200026011.73484305,52238757.67782768,27316080,249.32530120481928,42.265181170923135,161.83646014343535,592.796875,2.3776041666666665,20201018,0.3329418650827259,0.6026296126910996,0.06442852222617454,0.46142626187343905,1062666.0,-0.037928345626975765,0.4807692307692308,1,1,1,0,1,0,0,0,0
15453,ZA7,Gauteng,ZA799,City of Tshwane,2020-10-18,31055,17745,12947,1658873209.0135968,496684030.8141305,280464107,150.52010250630602,23.83758001021248,79.61504778368354,361.041305579156,2.398625164130687,20201018,0.22283079372412132,0.7204843127840075,0.056684893491871245,0.5057337597223363,3627986.0,0.48224212034383956,0.9038461538461539,1,1,1,0,1,0,0,0,0
15454,ZA6,North West,ZA638,Ngaka Modiri Molema,2020-10-18,1110,657,465,82004345.76320626,28707304.98980707,15950921,239.50331831831832,38.36105876868211,109.5809421409162,571.7175985663083,2.3870967741935485,20201018,0.3236353449196357,0.6078801705223251,0.06848448455803925,0.4964769205863341,870971.0,-0.18344824707846413,0.23076923076923078,1,1,1,0,1,0,0,0,0
15455,ZA2,Eastern Cape,ZA210,Cacadu,2020-10-18,2117,1274,940,294996304.535884,76257057.89106588,22161575,174.4731144701622,50.408445721577664,195.00234622879776,392.9357269503546,2.252127659574468,20201018,0.2618455236218228,0.6571170870354837,0.08103738934269357,0.4975242081945451,491156.0,-0.01848062015503876,0.5,1,1,1,0,1,0,0,0,0
15456,ZA8,Mpumalanga,ZA830,Gert Sibande,2020-10-18,3261,1929,1364,254992739.436342,84080609.25793804,40335396,206.15044464888072,38.30298271161758,116.162127943859,492.8567448680352,2.3907624633431084,20201018,0.30688245639051287,0.6412288994160756,0.05188864419341153,0.49968312815881616,1136106.0,-0.11248741610738255,0.36538461538461536,1,1,1,0,1,0,0,0,0
15457,ZA7,Gauteng,ZA748,West Rand,2020-10-18,4934,3191,2515,286952385.4577775,91191299.83520812,46661500,157.6189028509661,22.530277018002177,70.89620114005814,309.22133863485755,1.9618290258449305,20201018,0.23154887232085752,0.7207832829912092,0.047667844687933295,0.5288128906961219,856804.0,0.23715802469135805,0.8076923076923077,1,1,1,0,1,0,0,0,0
15458,ZA1,Western Cape,ZA104,Eden,2020-10-18,4979,2688,1900,680358297.9148098,155509981.26991656,44621114,149.36437705027782,50.8575907718387,222.5026561704677,391.4132807017544,2.6205263157894736,20201018,0.24710205256745305,0.6628052101466374,0.09009273728590954,0.4993180863678119,673839.0,0.0004522691705790296,0.5384615384615384,1,1,1,0,1,0,0,0,0
15459,ZA2,Eastern Cape,ZA213,Chris Hani,2020-10-18,702,402,305,85076443.46809043,22418797.8193654,13549671,321.692094017094,45.67342665425187,173.32475773468687,740.4191803278688,2.301639344262295,20201018,0.334940582305372,0.572656560540376,0.09240285715425203,0.478383232498069,752217.0,-0.29251697892271666,0.057692307692307696,1,1,1,0,1,0,0,0,0
15460,ZA5,KwaZulu-Natal,ZA522,Umgungundlovu,2020-10-18,3709,2046,1523,337551492.5377936,93038221.70287046,37421000,168.1540397231958,37.95881204409325,137.7181702952727,409.5097395491355,2.4353250164149705,20201018,0.2748377359932372,0.663873035280183,0.06128922872657978,0.48236181888519014,1046905.0,0.0061256544502617805,0.5769230769230769,1,1,1,0,1,0,0,0,0
15461,ZA1,Western Cape,ZA101,West Coast,2020-10-18,2269,1420,1095,337511254.5797611,96838034.35353673,27309004,200.59500514176585,54.951931379157095,191.5249047047895,415.6621613394216,2.072146118721461,20201018,0.24466466325617858,0.6852166396976793,0.0701186970461421,0.5060695297345649,497485.0,-0.12079976303317536,0.34615384615384615,1,1,1,0,1,0,0,0,0
15462,ZA4,Free State,ZA420,Fezile Dabi,2020-10-18,2438,1512,1123,193787930.59966072,61676879.07124095,24077898,164.60143560295325,34.12665706320112,107.22550087080758,357.3448797862867,2.170970614425645,20201018,0.2705098118551487,0.6604572122193,0.06903297592555128,0.5050070807202104,494300.0,0.2276555023923445,0.7884615384615384,1,1,1,0,1,0,0,0,0
15463,ZA5,KwaZulu-Natal,ZA528,Uthungulu,2020-10-18,1524,797,595,96876076.1025822,27314926.786584597,19485452,213.09549431321085,28.52556071135388,101.16975278510284,545.8109803921568,2.561344537815126,20201018,0.3398562749304085,0.6096443299200878,0.05049939514950375,0.4759701217345943,889476.0,-0.2202014106583072,0.15384615384615385,1,1,1,0,1,0,0,0,0
15464,ZA7,Gauteng,ZA798,City of Johannesburg,2020-10-18,41644,23982,17957,1793013656.5838702,539982321.8493961,373789693,149.59725810841098,18.68516228293384,62.04416291637474,346.9303456405116,2.319095617308013,20201018,0.2220629170143196,0.7299897648810346,0.047947318104645836,0.5097433964893054,5540727.0,0.8818060606060606,1.0,1,1,1,0,1,0,0,0,0
15465,ZA2,Eastern Cape,ZA214,Joe Gqabi,2020-10-18,287,184,140,26377349.474781387,9739133.642131403,4831248,280.5602787456446,43.225836304070846,117.07232208004088,575.1485714285715,2.05,20201018,0.3340471849013029,0.5799636495391386,0.08598916555955849,0.47733103958194023,339473.0,-0.1839776119402985,0.21153846153846154,1,1,1,0,1,0,0,0,0
15466,ZA1,Western Cape,ZA102,Cape Winelands,2020-10-18,5269,3342,2598,523582529.1260992,132783561.21384405,45423770,143.682450812931,31.7582293075309,125.2267514848818,291.4021683346164,2.0280985373364127,20201018,0.24989252608235304,0.6902123420738123,0.059895131843834624,0.5011121214086944,909523.0,-0.012388831437435367,0.5192307692307693,1,1,1,0,1,0,0,0,0
15467,ZA5,KwaZulu-Natal,ZA521,Ugu,2020-10-18,1616,942,707,282092107.9773707,62098781.18777175,17771476,183.28667491749172,54.57764314445694,247.926321718022,418.94097123998114,2.2857142857142856,20201018,0.32122674606698143,0.6016982741355622,0.07707497979745637,0.47391596021954596,714019.0,-0.09480895915678524,0.40384615384615385,1,1,1,0,1,0,0,0,0
15468,ZA7,Gauteng,ZA797,Ekurhuleni,2020-10-18,26349,15973,12003,1383855616.0519617,454480944.56433487,232046974,146.7778498867762,23.52756530643093,71.6394246463832,322.2069121608487,2.195201199700075,20201018,0.23296733680905687,0.7203157619169479,0.04671690127399521,0.5205474946472306,3739653.0,0.7435109289617486,0.9615384615384616,1,1,1,0,1,0,0,0,0
15469,ZA4,Free State,ZA494,Mangaung,2020-10-18,3882,2209,1577,272179302.9022511,81791837.10194193,44934294,192.9172849046883,32.22770534896351,107.24437409429184,474.8921369689284,2.4616360177552314,20201018,0.26262942751272955,0.6754982029249197,0.06187236956235082,0.4901411892511804,826621.0,0.27329104477611943,0.8269230769230769,1,1,1,0,1,0,0,0,0
15470,ZA4,Free State,ZA419,Thabo Mofutsanyane,2020-10-18,1591,942,719,207002343.86024165,66467421.10283832,22790504,238.7440184370417,57.44219846399385,178.89470542470224,528.2917014371812,2.212795549374131,20201018,0.31143326559338835,0.6251823622683981,0.06338437213821363,0.47028720831466336,662829.0,0.10770218579234972,0.7115384615384616,1,1,1,0,1,0,0,0,0
15471,ZA5,KwaZulu-Natal,ZA543,Sisonke,2020-10-18,420,223,183,51710869.06362882,12257601.097005451,6699516,265.8538095238095,41.62032900336574,175.58275607483995,610.1562841530055,2.295081967213114,20201018,0.37293146983899067,0.5707096800166399,0.05635885014436937,0.4671305273563743,447117.0,-0.2112274881516588,0.17307692307692307,1,1,1,0,1,0,0,0,0
