,admin1Pcod_1,admin1Name_1,admin1Pcod_2,admin1Name_2,local_date_1,local_date_2,trip_num,tour_num,id_num,tour_traj_distance,trip_traj_distance,time_range,date_1,date_2,0_14_pct_1,15_64_pct_1,65p_pct_1,M_pct_1,Population_1,0_14_pct_2,15_64_pct_2,65p_pct_2,M_pct_2,Population_2,rwi_1,rwi_pctl_1,rwi_2,rwi_pctl_2,new_cases_1,new_cases_2,first_case,ban_travel,lockdown
20786,ZA4,Free State,ZA5,KwaZulu-Natal,2021-04-02,2021-04-03,10,10,10,8193884.088038949,3297221.2243973054,749559,20210402,20210403,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.2248492570676798,0.7777777777777778,0.07735186107982292,0.5555555555555556,128.0,74.0,1,1,1
20787,ZA5,KwaZulu-Natal,,,2021-04-02,2021-04-03,2,2,2,40453.384937115,3004.7125222390955,104408,20210402,20210403,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,,,,,,0.07735186107982292,0.5555555555555556,,,133.0,,1,1,1
20788,ZA8,Mpumalanga,ZA9,Limpopo,2021-04-02,2021-04-13,1,1,1,264951.4817778346,183966.91018041817,918097,20210402,20210413,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.0523010419666447,0.4444444444444444,-0.020299216875639643,0.3333333333333333,125.0,18.0,1,1,1
20789,ZA6,North West,ZA6,North West,2021-04-02,2021-04-10,2,2,2,60273.09991866725,2028.5434414805536,1365743,20210402,20210410,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,-0.04677388157695324,0.1111111111111111,-0.04677388157695324,0.1111111111111111,137.0,138.0,1,1,1
20790,ZA7,Gauteng,ZA1,Western Cape,2021-04-02,2021-04-22,1,1,1,1256499.2527563614,1256498.3253572318,1715716,20210402,20210422,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.6706237180439658,1.0,0.48495156727992644,0.8888888888888888,415.0,148.0,1,1,1
20791,ZA6,North West,ZA1,Western Cape,2021-04-02,2021-04-02,7,7,7,14584545.507697895,8522563.73323776,217720,20210402,20210402,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.04677388157695324,0.1111111111111111,0.48495156727992644,0.8888888888888888,137.0,162.0,1,1,1
20792,ZA6,North West,ZA2,Eastern Cape,2021-04-02,2021-04-02,4,4,4,5778171.937795189,3359178.775007817,134032,20210402,20210402,0.2828745421867569,0.6531826641385288,0.0639427936747143,0.5169154144355026,3885864.0,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,-0.04677388157695324,0.1111111111111111,-0.04666754827373582,0.2222222222222222,137.0,22.0,1,1,1
20793,ZA5,KwaZulu-Natal,ZA1,Western Cape,2021-04-02,2021-04-17,1,1,1,1237896.3873724006,1237237.7857773737,1294274,20210402,20210417,0.3109682093283005,0.6320226943362347,0.05700909633546477,0.4797594466393526,10418811.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,0.07735186107982292,0.5555555555555556,0.48495156727992644,0.8888888888888888,133.0,166.0,1,1,1
20794,ZA9,Limpopo,ZA8,Mpumalanga,2021-04-02,2021-04-28,1,1,1,110608.27931237714,110605.64397882496,2210095,20210402,20210428,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,-0.020299216875639643,0.3333333333333333,0.0523010419666447,0.4444444444444444,21.0,88.0,1,1,1
20795,ZA9,Limpopo,ZA1,Western Cape,2021-04-02,2021-04-15,1,1,1,2859237.703239161,1542950.3966312,1125806,20210402,20210415,0.3322212084583728,0.5982309127294063,0.06954787881222096,0.47107489302560024,5527257.0,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,-0.020299216875639643,0.3333333333333333,0.48495156727992644,0.8888888888888888,21.0,137.0,1,1,1
20796,ZA4,Free State,ZA7,Gauteng,2021-04-02,2021-04-06,3,3,3,1094212.3114608647,918310.6156033286,922634,20210402,20210406,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.2248492570676798,0.7777777777777778,0.6706237180439658,1.0,128.0,142.0,1,1,1
20797,ZA1,Western Cape,,,2021-04-02,2021-04-04,1,1,1,1806204.8761382608,1275904.7406221945,154125,20210402,20210404,0.24146430881004144,0.6902282722160927,0.06830741897386587,0.4994387746892386,6898299.0,,,,,,0.48495156727992644,0.8888888888888888,,,162.0,,1,1,1
20798,ZA8,Mpumalanga,ZA7,Gauteng,2021-04-02,2021-04-04,3,3,3,976541.8607944868,585357.8310625168,513357,20210402,20210404,0.30219785415266165,0.6444398558234767,0.053362290023861565,0.4955341209781855,4547481.0,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,0.0523010419666447,0.4444444444444444,0.6706237180439658,1.0,125.0,154.0,1,1,1
20799,ZA2,Eastern Cape,ZA4,Free State,2021-04-02,2021-04-16,1,1,1,959416.7724285172,443122.8122585503,1205872,20210402,20210416,0.32240858903092945,0.600977358291188,0.07661405267788246,0.47559015644122027,6510816.0,0.28114593899768064,0.6555271573171474,0.06332690368517199,0.4905192097314189,2663702.0,-0.04666754827373582,0.2222222222222222,0.2248492570676798,0.7777777777777778,22.0,218.0,1,1,1
20800,ZA7,Gauteng,,,2021-04-02,2021-04-12,1,1,1,1108586.6734838083,497502.0233062533,822619,20210402,20210412,0.22703936886350948,0.7223349844212468,0.050625646715243805,0.5123439321519871,14760167.0,,,,,,0.6706237180439658,1.0,,,415.0,,1,1,1
